MapLines,ReduceWords,MapTime,GroupTime,ReduceTime,TotalTime
1000,100,1534,269,230,2033
1000,150,1192,352,145,1689
1000,200,1129,243,49,1421
1000,500,1168,281,36,1485
1000,1000,1425,237,69,1731
2000,100,1104,290,159,1553
2000,150,1158,303,59,1520
2000,200,1216,269,46,1531
2000,500,1202,260,36,1498
2000,1000,1202,264,37,1503
4500,100,1145,252,171,1568
4500,150,1089,238,59,1386
4500,200,995,294,214,1503
4500,500,863,295,188,1346
4500,1000,1183,250,55,1488
4750,100,1016,267,172,1455
4750,150,1078,228,59,1365
4750,200,1041,260,47,1348
4750,500,1110,278,36,1424
4750,1000,975,263,35,1273
5000,100,1069,277,74,1420
5000,150,1253,224,54,1531
5000,200,874,306,218,1398
5000,500,1118,252,36,1406
5000,1000,1006,244,47,1297
5250,100,1165,225,72,1462
5250,150,1008,272,173,1453
5250,200,1054,250,47,1351
5250,500,1134,275,37,1446
5250,1000,1027,280,42,1349
5500,100,976,249,71,1296
5500,150,1062,285,228,1575
5500,200,882,290,47,1219
5500,500,1254,257,36,1547
5500,1000,999,308,39,1346
10000,100,1167,360,74,1601
10000,150,1093,270,61,1424
10000,200,1075,296,57,1428
10000,500,1161,279,39,1479
10000,1000,1154,255,38,1447
